UserGenere,UserAge,UserExperience,TimeStamp,PlayerSpeed,PlayerAcceleration,CameraRotationZ,GameFps,DiscomfortLevel
1,0,1,184.0103,62,-57,0.048714,88,0
1,0,1,185.0096,57,-5,0.044601,90,0
1,0,1,186.01,74,17,0.027828,88,0
1,0,1,187.0108,89,15,0.016793,88,0
1,0,1,188.0104,101,12,0.03114,90,0
1,0,1,189.0116,113,12,0.041347,90,0
1,0,1,190.0116,75,-38,0.050504,88,0
1,0,1,191.0115,87,12,0.005718,90,0
1,0,1,192.0119,98,11,-0.001641,90,0
1,0,1,193.0109,74,-24,-0.016689,90,0
1,0,1,194.0107,88,14,-0.005119,90,0
1,0,1,195.01,101,13,0.008949,90,0
1,0,1,196.0102,116,15,0.045716,92,0
1,0,1,197.0122,131,15,0.063333,90,0
1,0,1,198.0116,54,-77,0.008102,90,0
1,0,1,199.0125,26,-28,-0.000901,90,0
1,0,1,200.0115,12,-14,-0.029827,90,0
1,0,1,201.0117,2,-10,-0.036444,90,0
1,0,1,202.0122,17,15,-0.007767,90,0
1,0,1,203.0135,32,15,0.04466,90,0
1,0,1,204.0123,9,-23,0.032306,90,0
1,0,1,205.0133,13,4,0.018593,90,0
1,0,1,206.013,17,4,0.067614,90,0
1,0,1,207.0117,2,-15,0.032907,90,0
1,0,1,208.0125,14,12,0.025738,90,0
1,0,1,209.0119,30,16,0.04858,90,0
1,0,1,210.0124,47,17,0.076994,90,0
1,0,1,211.013,64,17,0.093716,90,0
1,0,1,212.0144,79,15,0.06833,90,0
1,0,1,213.0136,93,14,0.051091,90,0
1,0,1,214.0147,105,12,0.050662,90,0
1,0,1,215.0134,117,12,0.047633,90,0
1,0,1,216.0129,126,9,0.012483,90,0
1,0,1,217.0129,70,-56,0.01724,90,0
1,0,1,218.0129,76,6,-0.08485,90,0
1,0,1,219.0129,87,11,-0.084387,90,0
1,0,1,220.0126,98,11,-0.071408,90,0
1,0,1,221.0129,110,12,-0.078102,90,0
1,0,1,222.0122,124,14,-0.064533,90,0
1,0,1,223.0122,89,-35,-0.074631,90,0
1,0,1,224.0124,64,-25,-0.063528,90,0
1,0,1,225.0121,81,17,-0.055154,90,0
1,0,1,226.0132,95,14,-0.052845,90,0
1,0,1,227.0143,106,11,-0.059403,90,0
1,0,1,228.0146,118,12,-0.071926,90,0
1,0,1,229.014,88,-30,-0.038651,90,0
1,0,1,230.0146,72,-16,-0.025799,90,0
1,0,1,231.0143,45,-27,-0.059307,90,0
1,0,1,232.0145,64,19,0.01967,90,0
1,0,1,233.0145,78,14,0.007156,90,0
1,0,1,234.0137,93,15,-0.002816,90,0
1,0,1,235.0139,106,13,-0.04516,90,0
1,0,1,236.0044,121,15,-0.056078,90,0
1,0,1,237.0162,77,-44,-0.086586,90,0
1,0,1,238.0152,79,2,-0.065845,90,0
1,0,1,239.0044,87,8,-0.063153,90,0
1,0,1,240.0048,99,12,-0.067357,90,0
1,0,1,241.0044,110,11,-0.073255,90,0
1,0,1,242.0045,103,-7,-0.049593,90,0
1,0,1,243.0043,76,-27,-0.047581,90,0
1,0,1,244.0162,74,-2,0.006765,90,0
1,0,1,245.0155,85,11,0.093338,90,0
1,0,1,246.0154,95,10,0.092224,90,0
1,0,1,247.0153,106,11,0.109585,90,0
1,0,1,248.0145,120,14,0.095043,90,0
1,0,1,249.0152,132,12,0.082535,90,0
1,0,1,250.0147,118,-14,0.141225,90,0
1,0,1,251.0159,129,11,0.06423,90,0
1,0,1,252.0157,125,-4,0.06852,90,0
1,0,1,253.0046,135,10,0.089827,90,0
1,0,1,254.0047,144,9,0.045489,90,0
1,0,1,255.0051,85,-59,0.036167,90,0
1,0,1,256.0152,52,-33,-0.008245,90,0
1,0,1,257.0048,70,18,-0.03515,90,0
1,0,1,258.0048,86,16,-0.015452,90,0
1,0,1,259.0142,100,14,0.011581,90,0
1,0,1,260.0155,116,16,0.028644,90,0
1,0,1,261.0048,122,6,0.109608,90,0
1,0,1,262.0058,62,-60,0.090533,90,0
1,0,1,263.0071,77,15,0.069722,90,0
1,0,1,264.0063,90,13,0.079857,90,0
1,0,1,265.0065,101,11,0.073171,90,0
1,0,1,266.0061,113,12,0.055988,90,0
1,0,1,267.0054,101,-12,0.057944,90,0
1,0,1,268.0065,72,-29,0.010977,90,0
1,0,1,269.0069,84,12,-0.103049,90,0
1,0,1,270.006,80,-4,-0.094391,90,0
1,0,1,271.0046,93,13,-0.109153,90,0
1,0,1,272.0052,106,13,-0.094785,90,0
1,0,1,273.0052,120,14,-0.087091,90,0
1,0,1,274.0054,132,12,-0.090134,90,0
1,0,1,275.0052,79,-53,-0.055607,90,0
1,0,1,276.0056,92,13,-0.062307,90,0
1,0,1,277.0053,104,12,-0.065155,90,0
1,0,1,278.0059,115,11,-0.072102,90,0
1,0,1,279.0058,126,11,-0.040435,90,0
1,0,1,280.0075,124,-2,-0.012833,90,0
1,0,1,281.0063,81,-43,0.00499,90,0
1,0,1,282.006,94,13,0.025926,90,0
1,0,1,283.005,107,13,-0.003443,90,0
1,0,1,284.0056,121,14,-0.035217,90,0
1,0,1,285.0061,138,17,-0.097851,90,0
1,0,1,286.0067,127,-11,-0.087175,90,0
1,0,1,287.0079,119,-8,-0.057251,90,0
1,0,1,288.0077,69,-50,-0.103424,90,0
1,0,1,289.006,16,-53,-0.073262,90,0
1,0,1,290.0072,33,17,-0.084247,90,0
1,0,1,291.0072,49,16,-0.065526,90,0
1,0,1,292.0069,48,-1,-0.051495,90,0
1,0,1,293.0074,50,2,-0.04223,90,0
1,0,1,294.0071,65,15,-0.045897,90,0
1,0,1,295.0074,79,14,-0.032438,90,0
1,0,1,296.0071,86,7,-0.028969,90,0
1,0,1,297.0076,72,-14,-0.010701,90,0
1,0,1,298.0078,84,12,0.097205,90,0
1,0,1,299.007,93,9,0.085075,90,0
1,0,1,300.0064,104,11,0.094016,90,0
1,0,1,301.0068,117,13,0.09236,90,0
1,0,0,0,0,0,-0.016656,90,0
1,0,0,0.993844,0,0,-0.005193,90,0
1,0,0,1.995645,0,0,0.016005,90,0
1,0,0,2.99443,0,0,0.009007,90,0
1,0,0,3.995084,0,0,0.029284,90,0
1,0,0,4.996181,0,0,0.012209,90,0
1,0,0,5.995663,0,0,0.011656,90,0
1,0,0,6.996557,0,0,0.013679,90,0
1,0,0,7.995745,0,0,0.024728,90,0
1,0,0,8.996756,0,0,0.015624,90,0
1,0,0,9.996318,0,0,0.004798,90,0
1,0,0,10.99692,0,0,0.009422,90,0
1,0,0,11.99891,0,0,0.157555,82,0
1,0,0,12.99294,0,0,0.340923,60,0
1,0,0,14.00346,0,0,0.337599,60,0
1,0,0,15.00192,0,0,0.344785,60,0
1,0,0,16.00224,0,0,0.347798,60,0
1,0,0,17.00237,0,0,0.350523,60,0
1,0,0,18.00238,0,0,0.158045,60,0
1,0,0,19.00265,0,0,0.064134,60,0
1,0,0,19.99545,0,0,-0.002884,74,0
1,0,0,20.99656,0,0,0.025707,90,0
1,0,0,21.99791,0,0,0.036347,90,0
1,0,0,22.99687,0,0,-0.001528,90,0
1,0,0,24.00793,0,0,0.140852,88,0
1,0,0,25.00187,0,0,0.19946,62,0
1,0,0,25.99595,0,0,0.103763,60,0
1,0,0,27.00632,0,0,-0.093405,60,0
