@relation dataset_c1_b

@attribute UserGenere {0,1}
@attribute UserAge {0,1,2}
@attribute UserExperience {0,1}
@attribute UserGlassesUse {0,1}
@attribute UserVisionProblems {0,1,2,3,4,5}
@attribute UserEyeDominance {0,1}
@attribute RegionOfInterest {0,1,2}
@attribute TimeStamp numeric
@attribute PlayerSpeed numeric
@attribute PlayerAcceleration numeric
@attribute CameraRotationX numeric
@attribute CameraRotationY numeric
@attribute CameraRotationZ numeric
@attribute PlayerPositionX numeric
@attribute PlayerPositionY numeric
@attribute PlayerPositionZ numeric
@attribute GameFps numeric
@attribute DiscomfortLevel {0,1}

@data
0,0,0,0,0,0,2,187.0019,36,-11,-0.016712,-0.218091,0.009599,-62.01438,8.238106,-65.40541,90,1
0,0,0,0,0,0,2,188.0031,58,22,-0.037713,-0.234435,0.011989,-64.45026,6.293812,-52.66609,90,1
0,0,0,0,0,0,1,189.0022,33,-25,0.032104,-0.757099,-0.074428,-60.76062,4.349444,-41.25033,90,1
0,0,0,0,0,0,1,190.0024,12,-21,-0.042218,-0.520935,-0.064914,-55.59058,4.44286,-38.99514,90,1
0,0,0,0,0,0,1,191.0039,5,-7,-0.08455,-0.20862,-0.032082,-54.11498,4.353068,-37.27276,90,1
0,0,0,0,0,0,0,192.0037,2,-3,-0.115001,-0.028468,0.003989,-53.57433,4.301451,-36.42958,90,1
0,0,0,0,0,0,0,193.0038,1,-1,-0.088294,-0.170286,0.006224,-53.37627,4.274599,-36.04269,90,1
0,0,0,0,0,0,1,194.0028,1,0,-0.06173,-0.120686,0.017844,-53.32157,4.243206,-35.73352,90,1
0,0,0,0,0,0,1,194.9935,1,0,-0.07877,-0.122175,0.002318,-53.26804,4.213643,-35.43785,90,1
0,0,0,0,0,0,1,195.9927,5,4,-0.074594,-0.1484,-0.016773,-53.47508,4.196739,-35.48307,90,1
0,0,0,0,0,0,1,197.0033,12,7,-0.0757,-0.177677,-0.012189,-55.44334,4.185238,-37.02013,90,1
0,0,0,0,0,0,1,198.004,1,-11,-0.078717,-0.202338,-0.006531,-57.17419,4.19117,-38.27271,90,1
0,0,0,0,0,0,1,198.9929,21,20,-0.070568,-0.133497,-0.008045,-55.52136,4.004225,-35.67111,90,1
0,0,0,0,0,0,1,200.0045,20,-1,-0.071296,0.092664,-0.005905,-54.28677,3.417653,-28.70422,90,1
0,0,0,0,0,0,1,200.9928,9,-11,-0.061884,0.214557,0.007511,-54.23259,3.158735,-25.01568,90,1
0,0,0,0,0,0,1,202.0033,18,9,-0.068267,0.279405,-0.005954,-55.07533,2.873266,-21.54211,90,1
0,0,0,0,0,0,1,203.0034,11,-7,-0.068477,0.402354,-0.001993,-56.24028,2.620525,-18.26041,90,1
0,0,0,0,0,0,1,204.0026,30,19,-0.058123,0.410066,-0.016092,-58.62135,2.280429,-12.98468,90,1
0,0,0,0,0,0,1,204.9932,47,17,-0.073032,0.780489,0.008866,-66.89429,1.631521,-6.637203,90,1
0,0,0,0,0,0,1,205.9934,26,-21,-0.042412,0.808295,-0.01653,-75.62974,1.23348,-5.459809,90,1
0,0,0,0,0,0,2,206.994,26,0,-0.057805,0.945176,-0.00379,-83.82069,1.043166,-8.049074,90,1
0,0,0,0,0,0,2,207.9929,22,-4,-0.049933,0.930554,0.005949,-88.70623,1.035126,-10.29742,90,1
0,0,0,0,0,0,1,208.9937,33,11,-0.056376,0.998115,-0.022878,-93.77563,0.969674,-16.67515,90,1
0,0,0,0,0,0,1,209.9931,29,-4,-0.035741,0.995825,-0.01279,-96.52047,0.914683,-24.8859,90,1
0,0,0,0,0,0,2,210.9936,32,3,-0.049652,0.998764,-0.000185,-97.82258,1.162335,-34.19619,90,1
0,0,0,0,0,0,2,211.9932,47,15,-0.061128,0.995394,-0.004547,-99.20267,1.643128,-45.08856,90,1
0,0,0,0,0,0,2,212.9935,60,13,-0.073731,0.9954,-0.009349,-98.77557,2.123739,-59.75133,90,1
0,0,0,0,0,0,2,213.9937,28,-32,-0.068544,0.99736,-0.014801,-98.59089,2.402375,-72.19521,90,1
0,0,0,0,0,0,1,214.9946,10,-18,-0.076603,0.99587,-0.016323,-97.93773,2.516737,-77.03338,90,1
0,0,0,0,0,0,1,215.9942,26,16,-0.061826,0.997518,-0.01763,-96.82415,2.652447,-81.84905,90,1
0,0,0,0,0,0,1,216.9937,42,16,-0.067049,0.989248,-0.008135,-95.14133,2.941015,-91.3019,90,1
0,0,0,0,0,0,0,217.9947,29,-13,-0.055136,0.939713,0.010832,-98.08967,3.22069,-102.3505,90,1
0,0,0,0,0,0,2,218.9939,25,-4,-0.031943,0.960337,0.017481,-99.08369,3.55788,-108.3156,90,1
0,0,0,0,0,0,2,219.9934,40,15,-0.015379,0.876667,0.018514,-100.666,4.085102,-117.2599,90,1
0,0,0,0,0,0,2,220.994,40,0,0.02273,0.57452,0.047916,-110.3263,4.918725,-124.5707,90,1
0,0,0,0,0,0,2,221.9946,53,13,0.031824,0.462942,-0.019586,-122.7599,5.683463,-126.7953,90,1
0,0,0,0,0,0,2,222.9935,68,15,0.043651,-0.05046,-0.00942,-137.8655,5.564868,-121.2135,90,1
0,0,0,0,0,0,1,223.9935,55,-13,0.055116,-0.17922,0.049511,-144.3996,6.666817,-107.6526,90,1
0,0,0,0,0,0,1,224.9933,18,-37,0.059786,0.09469,0.04888,-142.3172,7.235376,-102.0067,90,1
0,0,0,0,0,0,1,226.0038,15,-3,0.046501,0.244595,0.039337,-138.7742,7.000806,-103.2657,90,1
0,0,0,0,0,0,1,226.9932,2,-13,0.041072,0.259871,0.038525,-136.252,6.820913,-104.3079,90,1
0,0,0,0,0,0,1,227.993,2,0,0.040482,0.276574,0.040763,-135.9266,6.786248,-104.5536,90,1
0,0,0,0,0,0,1,228.9936,1,-1,0.040468,0.26812,0.040592,-135.5218,6.757718,-104.7242,90,1
0,0,0,0,0,0,1,229.994,9,8,0.039753,0.296808,0.040035,-136.0243,6.760023,-104.8327,90,1
0,0,0,0,0,0,1,230.9936,9,0,0.033533,0.444075,0.031462,-139.3375,6.777685,-105.5269,90,1
0,0,0,0,0,0,1,231.994,3,-6,0.05719,0.359757,0.013359,-140.7868,6.798874,-105.6712,90,1
0,0,0,0,0,0,1,232.9937,0,-3,0.060223,0.338261,0.015708,-141.1474,6.806173,-105.6841,90,1
0,0,0,0,0,0,1,233.9941,0,0,0.059854,0.338437,0.016574,-141.1473,6.806205,-105.6844,90,1
0,0,0,0,0,0,1,234.9933,13,13,0.06511,0.253133,0.021412,-142.5047,6.865783,-105.3901,90,1
